language,mode,type,n,warmup_avg_ns,measure_avg_ns,result
C,safe,int,1000,187,165,7319330
C,overflow,int,1000,166,160,846948993
C,safe,short,1000,65,63,-25
C,overflow,short,1000,61,62,2097
C,safe,signed char,1000,72,70,-32
C,overflow,signed char,1000,70,68,-72
C,safe,float,1000,409,408,-9.1727333069e+00
C,safe,double,1000,420,411,-1.5942167083e+01
C,safe,int,10000,1770,1674,-4211539
C,overflow,int,10000,1712,1655,-377147962
C,safe,short,10000,442,449,146
C,overflow,short,10000,433,471,-15508
C,safe,signed char,10000,491,467,-31
C,overflow,signed char,10000,508,471,-106
C,safe,float,10000,3966,3947,6.6558237076e+00
C,safe,double,10000,3952,3951,6.4059715415e+01
C,safe,int,100000,22436,14920,3929855
C,overflow,int,100000,22446,17483,1451575396
C,safe,short,100000,5114,4008,106
C,overflow,short,100000,4363,3916,-9891
C,safe,signed char,100000,4607,4492,-67
C,overflow,signed char,100000,4638,4481,14
C,safe,float,100000,39503,42470,-6.7232215881e+01
C,safe,double,100000,44812,41681,4.6045034858e+01
C,safe,int,1000000,261501,165966,504115
C,overflow,int,1000000,241432,155360,-1525734427
C,safe,short,1000000,128530,62256,28
C,overflow,short,1000000,127501,61857,-22900
C,safe,signed char,1000000,62329,57119,-17
C,overflow,signed char,1000000,64340,46158,-96
C,safe,float,1000000,397940,386928,4.5726264954e+01
C,safe,double,1000000,595318,417042,1.2105169826e+01
C,safe,int,5000000,2192123,2125085,214790
C,overflow,int,5000000,1881033,1953382,-1283063307
C,safe,short,5000000,699253,747547,-1973
C,overflow,short,5000000,630877,718880,7901
C,safe,signed char,5000000,371085,239879,-40
C,overflow,signed char,5000000,377302,245104,-37
C,safe,float,5000000,2262344,2164993,-1.3833209229e+03
C,safe,double,5000000,3767316,3623853,1.4152382748e+03
C,safe,int,10000000,3726901,3562763,-4102
C,overflow,int,10000000,3885416,3424746,1109387735
C,safe,short,10000000,1522467,1394502,297
C,overflow,short,10000000,1410663,1333952,-16856
C,safe,signed char,10000000,690519,733545,-35
C,overflow,signed char,10000000,736935,608127,-59
C,safe,float,10000000,4356571,4251158,1.7126221924e+03
C,safe,double,10000000,6586596,6459617,3.1453995650e+02
