language,mode,type,n,warmup_avg_ns,measure_avg_ns,result
Java,safe,int,1000,5833,5733,4896279
Java,overflow,int,1000,5885,5739,-1976036434
Java,safe,short,1000,10372,10079,282
Java,overflow,short,1000,10248,11233,2513
Java,safe,signed char,1000,12979,10624,18
Java,overflow,signed char,1000,9937,10420,-63
Java,safe,float,1000,6083,7848,5.7304010391e+00
Java,safe,double,1000,5892,6180,-2.4883525372e+00
Java,safe,int,10000,64843,12550,1161321
Java,overflow,int,10000,43692,13138,-1987331883
Java,safe,short,10000,85854,13726,-119
Java,overflow,short,10000,53039,13122,-8272
Java,safe,signed char,10000,52487,13611,-88
Java,overflow,signed char,10000,87716,18369,116
Java,safe,float,10000,66127,35160,-4.3241878510e+01
Java,safe,double,10000,66841,34964,-3.7977633409e+00
Java,safe,int,100000,35077,28919,3237423
Java,overflow,int,100000,43804,25881,1066520982
Java,safe,short,100000,66096,65838,-203
Java,overflow,short,100000,74208,65962,-22485
Java,safe,signed char,100000,76474,67446,-94
Java,overflow,signed char,100000,66319,67636,42
Java,safe,float,100000,81807,58302,-1.3794490051e+02
Java,safe,double,100000,79250,79878,5.3073201073e+01
Java,safe,int,1000000,195860,128124,-507626
Java,overflow,int,1000000,181124,137175,780795037
Java,safe,short,1000000,476249,459720,445
Java,overflow,short,1000000,504251,451160,32246
Java,safe,signed char,1000000,471204,474972,48
Java,overflow,signed char,1000000,483542,466593,-17
Java,safe,float,1000000,401007,391912,-1.2487725067e+02
Java,safe,double,1000000,469171,385032,-1.9547255538e+02
Java,safe,int,5000000,1573807,1168736,-54459
Java,overflow,int,5000000,1350049,1230002,457131528
Java,safe,short,5000000,2409839,2316464,204
Java,overflow,short,5000000,2307885,2298059,-8940
Java,safe,signed char,5000000,2405490,2395352,48
Java,overflow,signed char,5000000,2396431,2394214,-112
Java,safe,float,5000000,1994392,2028075,-9.4621685791e+02
Java,safe,double,5000000,3026927,2759382,-6.1382895521e+02
Java,safe,int,10000000,2971200,2798015,281191
Java,overflow,int,10000000,2956990,2859398,-1368110064
Java,safe,short,10000000,4791919,4734871,274
Java,overflow,short,10000000,4741472,4766615,12015
Java,safe,signed char,10000000,4758236,4696097,93
Java,overflow,signed char,10000000,4665883,4636366,-27
Java,safe,float,10000000,4665604,4207995,-1.0547577667e+02
Java,safe,double,10000000,7611381,7012678,1.1573780664e+03
